,tkl_int_per90,ga_per90,prgp_per90,gls_per90,xg_per90,sh_per90,sot_per90,touches_per90,kp_per90,carries_per90
tkl_int_per90,1.0,-0.47,0.27,-0.51,-0.56,-0.52,-0.53,0.44,-0.22,0.24
ga_per90,-0.47,1.0,-0.04,0.9,0.82,0.77,0.81,-0.37,0.55,-0.22
prgp_per90,0.27,-0.04,1.0,-0.17,-0.23,-0.14,-0.17,0.7,0.33,0.7
gls_per90,-0.51,0.9,-0.17,1.0,0.87,0.76,0.83,-0.44,0.34,-0.29
xg_per90,-0.56,0.82,-0.23,0.87,1.0,0.85,0.87,-0.52,0.35,-0.36
sh_per90,-0.52,0.77,-0.14,0.76,0.85,1.0,0.92,-0.49,0.51,-0.31
sot_per90,-0.53,0.81,-0.17,0.83,0.87,0.92,1.0,-0.48,0.45,-0.31
touches_per90,0.44,-0.37,0.7,-0.44,-0.52,-0.49,-0.48,1.0,-0.06,0.92
kp_per90,-0.22,0.55,0.33,0.34,0.35,0.51,0.45,-0.06,1.0,0.03
carries_per90,0.24,-0.22,0.7,-0.29,-0.36,-0.31,-0.31,0.92,0.03,1.0
